,gen_loss,real_acc,fake_acc,fake_loss,real_loss
77,"tf.Tensor(1.4652807, shape=(), dtype=float32)","tf.Tensor(81.548, shape=(), dtype=float32)","tf.Tensor(86.748, shape=(), dtype=float32)","tf.Tensor(0.38010255, shape=(), dtype=float32)","tf.Tensor(0.42016003, shape=(), dtype=float32)"
78,"tf.Tensor(1.4097283, shape=(), dtype=float32)","tf.Tensor(81.257, shape=(), dtype=float32)","tf.Tensor(86.269, shape=(), dtype=float32)","tf.Tensor(0.39315385, shape=(), dtype=float32)","tf.Tensor(0.4251796, shape=(), dtype=float32)"
79,"tf.Tensor(1.4012573, shape=(), dtype=float32)","tf.Tensor(81.064, shape=(), dtype=float32)","tf.Tensor(85.4685, shape=(), dtype=float32)","tf.Tensor(0.39811286, shape=(), dtype=float32)","tf.Tensor(0.42875987, shape=(), dtype=float32)"
80,"tf.Tensor(1.3209063, shape=(), dtype=float32)","tf.Tensor(79.298, shape=(), dtype=float32)","tf.Tensor(83.502, shape=(), dtype=float32)","tf.Tensor(0.43138257, shape=(), dtype=float32)","tf.Tensor(0.46049199, shape=(), dtype=float32)"
81,"tf.Tensor(1.348123, shape=(), dtype=float32)","tf.Tensor(80.197, shape=(), dtype=float32)","tf.Tensor(85.918, shape=(), dtype=float32)","tf.Tensor(0.40963122, shape=(), dtype=float32)","tf.Tensor(0.4426716, shape=(), dtype=float32)"
82,"tf.Tensor(1.4012942, shape=(), dtype=float32)","tf.Tensor(80.406, shape=(), dtype=float32)","tf.Tensor(86.2045, shape=(), dtype=float32)","tf.Tensor(0.3966506, shape=(), dtype=float32)","tf.Tensor(0.43625453, shape=(), dtype=float32)"
83,"tf.Tensor(1.3305479, shape=(), dtype=float32)","tf.Tensor(80.8155, shape=(), dtype=float32)","tf.Tensor(84.6095, shape=(), dtype=float32)","tf.Tensor(0.41861424, shape=(), dtype=float32)","tf.Tensor(0.43799052, shape=(), dtype=float32)"
84,"tf.Tensor(1.3993374, shape=(), dtype=float32)","tf.Tensor(80.617, shape=(), dtype=float32)","tf.Tensor(84.5775, shape=(), dtype=float32)","tf.Tensor(0.40675384, shape=(), dtype=float32)","tf.Tensor(0.43458256, shape=(), dtype=float32)"
85,"tf.Tensor(1.3769035, shape=(), dtype=float32)","tf.Tensor(80.4915, shape=(), dtype=float32)","tf.Tensor(85.8825, shape=(), dtype=float32)","tf.Tensor(0.40036237, shape=(), dtype=float32)","tf.Tensor(0.43438932, shape=(), dtype=float32)"
86,"tf.Tensor(1.4965516, shape=(), dtype=float32)","tf.Tensor(84.649, shape=(), dtype=float32)","tf.Tensor(89.457, shape=(), dtype=float32)","tf.Tensor(0.35124442, shape=(), dtype=float32)","tf.Tensor(0.37602788, shape=(), dtype=float32)"
87,"tf.Tensor(1.492501, shape=(), dtype=float32)","tf.Tensor(83.4115, shape=(), dtype=float32)","tf.Tensor(87.6345, shape=(), dtype=float32)","tf.Tensor(0.36820972, shape=(), dtype=float32)","tf.Tensor(0.39338508, shape=(), dtype=float32)"
88,"tf.Tensor(1.3160052, shape=(), dtype=float32)","tf.Tensor(78.376, shape=(), dtype=float32)","tf.Tensor(83.4535, shape=(), dtype=float32)","tf.Tensor(0.4331197, shape=(), dtype=float32)","tf.Tensor(0.46764824, shape=(), dtype=float32)"
89,"tf.Tensor(1.4857122, shape=(), dtype=float32)","tf.Tensor(82.3185, shape=(), dtype=float32)","tf.Tensor(87.367, shape=(), dtype=float32)","tf.Tensor(0.3733553, shape=(), dtype=float32)","tf.Tensor(0.40806347, shape=(), dtype=float32)"
